Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Heartbeam Inc,BEAT,Buy,Filled,3,3,2.85,2.85,DAY,12/19/2025 09:55:46 EST,12/19/2025 09:55:46 EST
Nvidia Corporation,NVDA,Buy,Filled,0.75,0.75,179.56,179.56,DAY,12/19/2025 09:44:45 EST,12/19/2025 09:44:45 EST
Broadcom Inc,AVGO,Buy,Filled,9.5,9.5,@337.17,337.17,DAY,12/19/2025 09:33:09 EST,12/19/2025 09:33:09 EST
Broadcom Inc,AVGO,Sell,Filled,10,10,@331.79,331.79,GTC,12/19/2025 07:43:10 EST,12/19/2025 07:43:10 EST
Broadcom Inc,AVGO,Buy,Filled,0.5,0.5,326.31,326.31,DAY,12/18/2025 10:59:59 EST,12/18/2025 10:59:59 EST
Broadcom Inc,AVGO,Buy,Filled,10,10,326.25,326.25,DAY,12/18/2025 10:23:03 EST,12/18/2025 10:23:03 EST
Broadcom Inc,AVGO,Sell,Filled,10,10,327.24,327.24,DAY,12/18/2025 10:04:02 EST,12/18/2025 10:04:02 EST
Broadcom Inc,AVGO,Buy,Filled,10,10,@330.10,330.10,GTC,12/18/2025 07:46:19 EST,12/18/2025 07:46:41 EST
Abbott Labs,ABT,Sell,Filled,11,11,126.94,126.94,DAY,12/16/2025 13:08:40 EST,12/16/2025 13:08:40 EST
Merck & Co,MRK,Sell,Filled,2,2,97.76,97.76,DAY,12/16/2025 13:08:27 EST,12/16/2025 13:08:27 EST
Heartbeam Inc,BEAT,Sell,Filled,23,23,3.12,3.12,DAY,12/16/2025 13:08:20 EST,12/16/2025 13:08:20 EST
Johnson & Johnson,JNJ,Sell,Filled,7,7,209.95,209.95,DAY,12/16/2025 12:44:16 EST,12/16/2025 12:44:16 EST
Heartbeam Inc,BEAT,Buy,Filled,23,23,@2.54,2.54,GTC,12/16/2025 01:14:13 EST,12/16/2025 04:00:00 EST
Merck & Co,MRK,Buy,Filled,2,2,99.86,99.86,DAY,12/15/2025 12:20:58 EST,12/15/2025 12:20:58 EST
Visa,V,Sell,Filled,0.45718,0.45718,346.14,346.14,DAY,12/15/2025 10:25:58 EST,12/15/2025 10:25:58 EST
Abbott Labs,ABT,Buy,Filled,11,11,127.79,127.79,DAY,12/15/2025 09:54:05 EST,12/15/2025 09:54:05 EST
Johnson & Johnson,JNJ,Buy,Filled,7,7,213.94,213.94,DAY,12/15/2025 09:53:43 EST,12/15/2025 09:53:43 EST
Nvidia Corporation,NVDA,Sell,Filled,17,17,176.88,176.88,DAY,12/12/2025 14:01:48 EST,12/12/2025 14:01:48 EST
Visa,V,Buy,Filled,0.45718,0.45718,348.00,348.00,DAY,12/12/2025 13:54:35 EST,12/12/2025 13:54:35 EST
Taiwan Semi,TSM,Sell,Filled,0.53758,0.53758,295.98,295.98,DAY,12/12/2025 13:53:36 EST,12/12/2025 13:53:36 EST
Taiwan Semi,TSM,Buy,Filled,0.53758,0.53758,305.48,305.48,DAY,12/10/2025 12:12:40 EST,12/10/2025 12:12:40 EST
Immuron Ltd,IMRN,Sell,Filled,100,100,@1.07,1.07,GTC,12/10/2025 04:40:55 EST,12/10/2025 04:40:55 EST
Immuron Ltd,IMRN,Buy,Filled,100,100,@1.00,1.00,GTC,12/09/2025 19:59:33 EST,12/09/2025 19:59:33 EST
Nvidia Corporation,NVDA,Buy,Filled,17,17,184.88,184.88,DAY,12/09/2025 12:46:45 EST,12/09/2025 12:46:45 EST
Immix Biopharma Inc,IMMX,Sell,Filled,9,9,6.55,6.55,DAY,12/09/2025 09:55:00 EST,12/09/2025 09:55:00 EST
Immix Biopharma Inc,IMMX,Buy,Filled,9,9,6.50,6.50,DAY,12/09/2025 09:46:12 EST,12/09/2025 09:46:12 EST
Tesla Inc,TSLA,Sell,Filled,0.14,0.14,437.73,437.73,DAY,12/09/2025 09:32:02 EST,12/09/2025 09:32:02 EST
Nvidia Corporation,NVDA,Sell,Filled,12,12,184.34,184.34,DAY,12/09/2025 09:31:52 EST,12/09/2025 09:31:52 EST
Nvidia Corporation,NVDA,Buy,Filled,12,12,@186.22,186.22,GTC,12/09/2025 09:24:47 EST,12/09/2025 09:25:16 EST
Marvell Technology Inc,MRVL,Sell,Filled,1,1,@91.55,91.55,GTC,12/08/2025 22:02:02 EST,12/09/2025 08:38:20 EST
Tesla Inc,TSLA,Sell,Filled,2,2,@436.50,436.50,GTC,12/08/2025 22:01:43 EST,12/09/2025 08:37:25 EST
Intel Corp,INTC,Sell,Filled,10,10,40.25,40.25,DAY,12/08/2025 10:48:12 EST,12/08/2025 10:48:12 EST
Tesla Inc,TSLA,Sell,Filled,0.86,0.86,441.73,441.73,DAY,12/08/2025 10:44:51 EST,12/08/2025 10:44:51 EST
Oracle Corp,ORCL,Sell,Filled,0.64133,0.64133,223.16,223.16,DAY,12/08/2025 09:39:13 EST,12/08/2025 09:39:13 EST
Broadcom Inc,AVGO,Sell,Filled,1,1,@401.37,401.37,GTC,12/08/2025 08:38:57 EST,12/08/2025 08:39:05 EST
